name,ARname,ingredients,ARingredients,diet,ARdiet,prep_time,cook_time,flavor_profile,course,ARflavor_profile,ARcourse,state,region
Pakhala,باخالا,"Curd, cooked rice, curry leaves, dry chilli",اللبن الرائب والأرز المطبوخ وأوراق الكاري والفلفل الجاف,vegetarian,نباتي,-1,-1,-1,main course,,طبق رئيسي,Odisha,East
Pani Pitha,باني بيثا,"Tea leaves, white sesame seeds, dry coconut, soaked rice",أوراق الشاي، بذور السمسم الأبيض، جوز الهند الجاف، الأرز المنقوع,vegetarian,نباتي,10,20,-1,main course,,طبق رئيسي,Assam,North East
Payokh,بايوخ,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",أرز بسمتي، ماء ورد، سكر، زبدة، هيل,vegetarian,نباتي,-1,-1,sweet,dessert,حلو,تحلية,Assam,North East
Prawn malai curry,روبيان مالاي بالكاري,"Coconut milk, prawns, garlic, turmeric, sugar",حليب جوز الهند، روبيان، ثوم، كركم، سكر,non vegetarian,غير نباتي,15,50,spicy,main course,بهارات,طبق رئيسي,West Bengal,East
Red Rice,رز أحمر,"Red pepper, red onion, butter, watercress, olive oil",فلفل أحمر، بصل أحمر، زبدة، جرجير، زيت زيتون,vegetarian,نباتي,-1,-1,-1,main course,,طبق رئيسي,-1,-1
Shukto,شكتو,"Green beans, bitter gourd, ridge gourd, banana, brinjal",الفاصوليا الخضراء، القرع المر، قرع ريدج، الموز، برينجال,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,West Bengal,East
Til Pitha,حتى بيثا,"Glutinous rice, black sesame seeds, gur",أرز دبق، بذور السمسم الأسود، جور,vegetarian,نباتي,5,30,sweet,dessert,حلو,تحلية,Assam,North East
Bebinca,بيبينكا,"Coconut milk, egg yolks, clarified butter, all purpose flour",حليب جوز الهند، صفار البيض، الزبدة المصفاة، الدقيق لجميع الأغراض,vegetarian,نباتي,20,60,sweet,dessert,حلو,تحلية,Goa,West
Shufta,شفتا,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",جبنة قريش، تمر جاف، بتلات ورد مجفف، فستق، بدام,vegetarian,نباتي,-1,-1,sweet,dessert,حلو,تحلية,Jammu & Kashmir,North
Mawa Bati,ماوا باتي,"Milk powder, dry fruits, arrowroot powder, all purpose flour",مسحوق الحليب، الفواكه الجافة، مسحوق الأروروت، دقيق لجميع الأغراض,vegetarian,نباتي,20,45,sweet,dessert,حلو,تحلية,Madhya Pradesh,Central
Pinaca,بيناكا,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",الأرز البني، بذور الشمر، جوز الهند المبشور، الفلفل الأسود، مسحوق الزنجبيل,vegetarian,نباتي,-1,-1,sweet,dessert,حلو,تحلية,Goa,West
